anon_id,label,clase,split,texto
call_0181ce113ebe,synthetic,1,train,"Hola, buenas tardes. Mire, le llamo porque estaba revisando mis movimientos y vi un cargo en mi tarjeta que yo no realicé y quería ver si me pueden ayudar a revisarlo. Claro, mi nombre es Mariana Solis Robledo y mi número de referencia de cliente es 88, 23, 11, 47. No, es 88, 23, 11, 47. Al final es 47. Mire, el cargo es por 1850 pesos. Se hizo el 28 de agosto en una tienda que no conozco y la tarjeta con la que pasó termina en 55, 10. Sí, la tengo conmigo físicamente. No la he perdido. Es de mi tarjeta de débito. Me imagino que es esa de nómina. Sí, es 88, 23, 11, 47. Así es, es correcto."
call_018c9d3823ac,synthetic,1,train,"Buen día Marina. Mira, te llamó porque tengo un pago que vence pronto y la verdad no me va a alcanzar para pagarlo en la fecha que indica. Quisiera saber si puedo pagar unos días después sin que me cobren de más o alguna penalización. El pago es por 4200 pesos y vence el 10 de septiembre. Yo quisiera pagarlo el 20 de septiembre. ¿Me podrías ayudar con eso? Claro, mi nombre completo es Rodrigo Anaya Castellanos y mi número de referencia de cliente es 3306 Guión 9281 ¿Quieres que te dé algún otro dato? Si, cor... No, es 9281 con 1 al final. Es sobre mi crédito verde. Perfecto Marina. Entonces, dime Marina. Podría... Gracias por tu ayuda Marina. Que tengas buen día."
call_01bf49059daf,synthetic,1,train,"Hola, buenas tardes. Oye, fíjate que cambié de celular, o sea, de número de teléfono y pues quería ver si me lo pueden actualizar para que me sigan llegando las alertas y los mensajes del banco porque el otro número ya de plano ni lo tengo. Sí, claro, mi nombre es Lucía Ferrer Montaño y mi número de referencia de clientes es el 7 7 1 2 0 4 5 9. No, no, casi, es 7 7 1 2 0 4 5 9. El penúltimo es un 5 un 6. Ay pues ya tiene como unas semanas yo creo, es que me cambié de compañía porque de plano la otra no agarraba nada de señal en mi casa y pues me dieron chip nuevo con número diferente y ya perdí el anterior. Y mi número nuevo es el 5. 5, 2, 1, 9, 0, 4, 4, 7, 7. Sí, o sea tiene la edad de allá pero yo vivo acá en Monterrey, ya ves que luego te dan el número que quieren. Pero sí ese mero es el nuevo. Ay pues yo creo que para todo, no? O sea para que me lleguen las alertas de lo que sea que pase con mi cuenta, la verdad no sé bien cual tengo de esas pero pues para que me sigan llegando los mensajes de las compras y todo eso, si tú dime que es el 7-712459, no sería todo de mi padre, muchas gracias por la ayuda. Que tengas buen día, bye."
call_01c3806808d6,synthetic,1,train,"Buenas tardes, hablo porque metí una solicitud de crédito personal y quiero saber si ya la aprobaron. Sí, claro, mi nombre es Daniela Ocampo Ríos. El número de referencia es 6641-22075. Sí, la metí el 25 de agosto. El folio es CR-24018. El monto es 35.000 pesos. Por la AP. Es sobre mi cuenta nómina plus. Sí, así es. Sí, correcto."
call_0294f969f98b,synthetic,1,val,"Hola, Marina. Sí, quiero saber cuánto debo y para cuándo tengo que pagar. Javier Peñaldrete. Si 9 0 5 7 guión 3 8 1 2. No, la última parte es 8 1 2. Sólo quiero saber sobre el crédito verde. 0 5 7 guión 3 8 1 2. Ajá."
call_02c249d2f89d,synthetic,1,train,"Hola buenas tardes estoy marcando porque me están cobrando un seguro que no recuerdo haber contratado y quiero cancelarlo. Sí claro Hector Navarro Salcedo, el primer cargo lo vi en junio hace como tres meses, si es 22.84 55.06, ahi me sale sobre la cuenta nómina plus, si 22.84 55-06. No es 22, 84, 55-06. Correcto. Gracias. Que tenga buena tarde."
call_02d28871d7b3,synthetic,1,train,"Hola, ¿qué tal? Oye, mira, lo que pasa es que estaba revisando mis movimientos y vi un cargo en mi tarjeta que yo no hice. Quería ver si lo podemos revisar. Sí, claro. Mariana Solís Robledo. Ay, a ver, déjame buscarlo. Es el 88831147. Oye, es 88231147, con 4 al final no 5. Sí, mira, fue el 28 de agosto. Es por 1850 pesos en una tienda que la verdad no tengo idea de cuál sea. Pues la verdad no sé bien qué plan sea pero la tarjeta termina en 5510, a ver si con eso te sale. Sí, sí, exacto, ese mero. Ya todo de mi parte, muchas gracias por la ayuda. Hasta luego."
call_03680846967f,synthetic,1,train,"Buenas tardes. Mire, le llamo porque cambié de número de teléfono y quiero actualizar mis datos para que me sigan llegando los mensajes del banco. Antes recibía todo en un número que termina en 8, 8, 3, 4, pero ya no tengo acceso a ese teléfono. Ahora mi número es 5, 5, 21, 90, 44, 77. Me puede ayudar con ese cambio por favor? Mi nombre es Lucia cerrer montaño y mi número de referencia es 7 7 1 2 0 4 5 9 se lo repito no disculpe el último dígito es 5 9 es 7 7 1 2 0 4 5 9 se lo digo otra vez más despacio y claro le cuento sí exactamente esa era el que termina en 8 8 3 4 ese es el número al que antes me llegaban todos los avisos del banco, pero ya no tengo acceso desde hace unas semanas porque cambié de compañía y el número se dio de baja. Por eso ya no recibo mensajes ahí y necesito que todo me lo mande en nuevo. Con mucho gusto. Es 7 7 1 2 0 4 5 9 ¿Lo tiene? No. Muchas gracias con eso es todo. Que tenga buena tarde."
call_04d682ac0cef,human,0,train,"buenas noches, me están cobrando un seguro que no recuerdo haber contratado y me gustaría cancelarlo por favor. Claro, mi nombre es Héctor Navarro Salcedo y recuerdo haber notado el cargo hace tres meses en junio. Claro, 22, 84, 55, 06. No, 06. Le aparece simplemente como un seguro y aparece de 189 pesos siempre, inmensoalmente. Sobre mi crédito verde. Sí, es correcto, ¿cuando tendría la devolución? en el caso de que no proceda mi reembolso y me gustaría apelar aún más o escalar este caso con quien podría comunicarme. Si me gustaría irme directamente con la conducés, tú me podrías ayudar a generar la demanda."
call_05d6615469e1,synthetic,1,train,"Hola Marina, muchas gracias y buen día. Mire, le llamo porque tengo un problema con mi estado de cuenta. Hice un pago de $2,600 pesos el día primero de septiembre y me apareció dos veces en mi estado de cuenta, como si lo hubieran cobrado doble. ¿Me puede ayudar, por favor? Sí, claro, mi nombre es Adriana Cortés Lima. Mi número de clientes 4470, guión 8193. ¿Me avisa si necesita que se lo repita, por favor? perdón es 4470 guión 8193. El último número es 3 no 4, le repito el número despacito. Claro mire es 4470 guión 8193. Así está bien. Si mire yo revisé mi estado de cuenta porque siempre anoto mis gastos y vi que el pago de 2.600 pesos que hice el primero de septiembre aparecía dos veces, uno atrás del otro con la misma cantidad y el mismo concepto. Por eso me llamó la atención porque solo hice... no se preocupe Marina, dígame, la escucho. Por supuesto, es 4478193. Así está bien Marina. Muchas gracias Marina. No, con eso está bien. Que tenga buena noche. Hasta luego."
